Feature,Importance,Chunk
feature_26,0.10901492643412636,4
feature_28,0.06538443085676421,4
feature_27,0.06438404510886032,4
feature_23,0.0548964771733211,4
feature_6,0.05122258158747619,4
feature_25,0.05113114165328659,4
feature_1,0.04161575334049061,4
feature_22,0.04004199787807077,4
feature_4,0.0397446126486154,4
feature_10,0.038632355219315316,4
feature_26,0.10796151218581417,1
feature_28,0.06625419504151536,1
feature_27,0.06372893477621591,1
feature_23,0.05362943968569966,1
feature_25,0.051090978074048804,1
feature_6,0.0505645778480537,1
feature_1,0.041927488098073076,1
feature_22,0.03982411315364361,1
feature_10,0.03917530980534227,1
feature_4,0.03913518883751877,1
feature_26,0.10601295736347867,2
feature_28,0.06495399626840494,2
feature_27,0.06403222490288014,2
feature_23,0.0552380490884911,2
feature_25,0.05194327372638702,2
feature_6,0.050397403619115655,2
feature_1,0.04160166759719311,2
feature_22,0.04011196972960504,2
feature_4,0.03949423051447657,2
feature_10,0.03913560223887644,2
feature_26,0.10901492643412636,3
feature_28,0.06538443085676421,3
feature_27,0.06438404510886032,3
feature_23,0.0548964771733211,3
feature_6,0.05122258158747619,3
feature_25,0.05113114165328659,3
feature_1,0.04161575334049061,3
feature_22,0.04004199787807077,3
feature_4,0.0397446126486154,3
feature_10,0.038632355219315316,3
feature_26,0.10796151218581417,1
feature_28,0.06625419504151536,1
feature_27,0.06372893477621591,1
feature_23,0.05362943968569966,1
feature_25,0.051090978074048804,1
feature_6,0.0505645778480537,1
feature_1,0.041927488098073076,1
feature_22,0.03982411315364361,1
feature_10,0.03917530980534227,1
feature_4,0.03913518883751877,1
feature_26,0.10601295736347867,2
feature_28,0.06495399626840494,2
feature_27,0.06403222490288014,2
feature_23,0.0552380490884911,2
feature_25,0.05194327372638702,2
feature_6,0.050397403619115655,2
feature_1,0.04160166759719311,2
feature_22,0.04011196972960504,2
feature_4,0.03949423051447657,2
feature_10,0.03913560223887644,2
feature_26,0.10796151218581417,1
feature_28,0.06625419504151536,1
feature_27,0.06372893477621591,1
feature_23,0.05362943968569966,1
feature_25,0.051090978074048804,1
feature_6,0.0505645778480537,1
feature_1,0.041927488098073076,1
feature_22,0.03982411315364361,1
feature_10,0.03917530980534227,1
feature_4,0.03913518883751877,1
feature_26,0.10796151218581417,1
feature_28,0.06625419504151536,1
feature_27,0.06372893477621591,1
feature_23,0.05362943968569966,1
feature_25,0.051090978074048804,1
feature_6,0.0505645778480537,1
feature_1,0.041927488098073076,1
feature_22,0.03982411315364361,1
feature_10,0.03917530980534227,1
feature_4,0.03913518883751877,1
feature_26,0.10601295736347867,2
feature_28,0.06495399626840494,2
feature_27,0.06403222490288014,2
feature_23,0.0552380490884911,2
feature_25,0.05194327372638702,2
feature_6,0.050397403619115655,2
feature_1,0.04160166759719311,2
feature_22,0.04011196972960504,2
feature_4,0.03949423051447657,2
feature_10,0.03913560223887644,2
feature_26,0.10901492643412636,3
feature_28,0.06538443085676421,3
feature_27,0.06438404510886032,3
feature_23,0.0548964771733211,3
feature_6,0.05122258158747619,3
feature_25,0.05113114165328659,3
feature_1,0.04161575334049061,3
feature_22,0.04004199787807077,3
feature_4,0.0397446126486154,3
feature_10,0.038632355219315316,3
